"County Name","District Name","School Name","BEDS CODE",Enrollment,"School Type","Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
ALBANY,"Albany City School District","Albany High School",10100010034,2756,Public,0,0,0,0,0,0,0,0,0,2,1,0,0,0,21,1,1,0,206,1,229,0,1,0,9,0,11,0,1,0,0,7,23,26,1,408
ALBANY,"Albany City School District","Albany School Of Humanities",10100010023,533,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,30
ALBANY,"Albany City School District","Arbor Hill Elementary School",10100010039,452,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31
ALBANY,"Albany City School District","Delaware Community School",10100010018,348,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,61,0,11,0,0,0,5,0,1,0,0,0,0,0,3,0,0,34
ALBANY,"Albany City School District","Eagle Point Elementary School",10100010027,198,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10
ALBANY,"Albany City School District","Giffen Memorial Elementary School",10100010029,458,Public,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,20,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,30
ALBANY,"Albany City School District","Montessori Magnet School",10100010014,312,Public,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
ALBANY,"Albany City School District","North Albany Academy",10100010020,412,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,68,0,15,0,0,0,1,0,6,0,0,0,0,0,5,0,0,38
ALBANY,"Albany City School District","Philip J Schuyler Achievement Academy",10100010043,276,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ALBANY,"Albany City School District","Philip Livingston Magnet Academy",10100010031,449,Public,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,1,2,0,75,0,42,0,0,0,1,0,0,0,1,0,0,0,11,3,0,95
ALBANY,"Albany City School District","Pine Hills Elementary School",10100010016,305,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,7,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3
ALBANY,"Albany City School District","School 19",10100010019,495,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALBANY,"Albany City School District","Sheridan Preparatory Academy",10100010044,371,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30
ALBANY,"Albany City School District","Stephen And Harriet Myers Middle School",10100010045,576,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,86,0,47,0,0,0,5,0,2,0,1,0,0,0,0,0,0,221
ALBANY,"Albany City School District","Thomas S O'Brien Academy Of Science & Technology",10100010028,488,Public,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ALBANY,"Albany City School District","William S Hackett Middle School",10100010030,495,Public,0,0,0,0,0,3,0,0,0,0,0,0,0,0,7,0,2,0,210,0,70,0,0,0,15,0,4,0,0,0,0,4,4,1,0,408
ALBANY,"Berne-Knox-Westerlo Central School District","Berne-Knox-Westerlo Elementary School",10201040002,409,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Berne-Knox-Westerlo Central School District","Berne-Knox-Westerlo Junior-Senior High School",10201040001,671,Public,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,4,2,3,0,0,0,2,0,1,0,1,0,0,0,1,0,0,0
ALBANY,"Bethlehem Central School District","Bethlehem Central Middle School",10306060007,1217,Public,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,17,0,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
ALBANY,"Bethlehem Central School District","Bethlehem Central Senior High School",10306060008,1753,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,7,0,0,0,4,0,0,0,2,0,0,0,0,8,15,0
ALBANY,"Bethlehem Central School District","Clarksville Elementary School",10306060001,265,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Bethlehem Central School District","Elsmere Elementary School",10306060003,326,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Bethlehem Central School District","Glenmont Elementary School",10306060004,454,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
ALBANY,"Bethlehem Central School District","Hamagrael Elementary School",10306060005,488,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Bethlehem Central School District","Slingerlands Elementary School",10306060006,679,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Cohoes City School District","Abram Lansing School",10500010005,387,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Cohoes City School District","Cohoes High School",10500010007,683,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,4,0,0,0,3,0,1,0,0,0,0,0,2,1,0,96
ALBANY,"Cohoes City School District","Cohoes Middle School",10500010008,500,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,56,0,30,0,0,0,0,0,2,0,0,0,0,0,4,1,0,49
ALBANY,"Cohoes City School District","Harmony Hill School",10500010009,408,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Cohoes City School District","Van Schaick Island School",10500010006,136,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Green Island Union Free School District","Heatly School",10701030001,315,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,11,0,0,0,2,0,1,0,0,0,0,0,1,0,0,52
ALBANY,"Guilderland Central School District","Altamont Elementary School",10802060001,292,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Guilderland Central School District","Farnsworth Middle School",10802060008,1362,Public,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,13,0,19,0,0,0,3,0,4,0,0,0,0,0,1,1,1,9
ALBANY,"Guilderland Central School District","Guilderland Elementary School",10802060003,516,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Guilderland Central School District","Guilderland High School",10802060005,1873,Public,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,39,0,10,0,0,0,0,0,7,0,0,0,0,0,4,12,10,155
ALBANY,"Guilderland Central School District","Lynnwood Elementary School",10802060007,438,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Guilderland Central School District","Pine Bush Elementary School",10802060009,479,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALBANY,"Guilderland Central School District","Westmere Elementary School",10802060004,465,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"Maplewood Common School District","Maplewood School",10622080001,165,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ALBANY,"Menands Union Free School District","Menands School",10615020001,247,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,N/A,"Achievement Academy Charter School",10100860876,146,Charter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,11,0,0,0,36,0,4,0,0,0,0,0,0,0,0,71
ALBANY,N/A,"Albany Community Charter School",10100860899,103,Charter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
ALBANY,N/A,"Albany Preparatory Charter School",10100860884,113,Charter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
ALBANY,N/A,"Brighter Choice Charter School For Boys",10100860829,141,Charter,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,63
ALBANY,N/A,"Brighter Choice School For Girls",10100860830,144,Charter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17
ALBANY,N/A,"Kipp Tech Valley Charter School",10100860867,166,Charter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
ALBANY,N/A,"New Covenant Charter School",10100860005,692,Charter,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,264,0,6,0,0,0,4,0,6,0,0,0,0,0,1,0,0,230
ALBANY,"North Colonie Central School District","Blue Creek School",10605060002,485,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
ALBANY,"North Colonie Central School District","Boght Hills School",10605060003,496,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"North Colonie Central School District","Forts Ferry School",10605060004,494,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ALBANY,"North Colonie Central School District","Latham Ridge School",10605060006,434,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALBANY,"North Colonie Central School District","Loudonville School",10605060007,324,Public,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4
ALBANY,"North Colonie Central School District","Shaker High School",10605060010,2060,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,23,0,0,0,1,0,6,0,0,0,0,0,5,13,2,166
ALBANY,"North Colonie Central School District","Shaker Junior High School",10605060009,878,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,4,0,0,0,0,0,6,0,0,0,0,0,1,0,0,43
ALBANY,"North Colonie Central School District","Southgate School",10605060008,445,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ALBANY,"Ravena-Coeymans-Selkirk Central School District","Albertus W Becker School",10402060002,490,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,4
ALBANY,"Ravena-Coeymans-Selkirk Central School District","Pieter B Coeymans School",10402060003,497,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,9
ALBANY,"Ravena-Coeymans-Selkirk Central School District","Ravena Middle School",10402060008,488,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,0,16,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6
ALBANY,"Ravena-Coeymans-Selkirk Central School District","Ravena Senior High School",10402060001,709,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,12,0,0,0,3,0,0,0,0,0,0,0,0,5,1,17
ALBANY,"South Colonie Central School District","Colonie Central High School",10601060008,2006,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,6,0,0,0,0,0,3,3,3,61
ALBANY,"South Colonie Central School District","Forest Park Elementary School",10601060010,342,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
ALBANY,"South Colonie Central School District","Lisha Kill Middle School",10601060013,825,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
ALBANY,"South Colonie Central School District","Roessleville School",10601060003,298,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"South Colonie Central School District","Saddlewood Elementary School",10601060005,342,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ALBANY,"South Colonie Central School District","Sand Creek Middle School",10601060012,973,Public,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,1,0,0,0,1,0,0,22
ALBANY,"South Colonie Central School District","Shaker Road Elementary School",10601060006,331,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALBANY,"South Colonie Central School District","Veeder Elementary School",10601060011,484,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13
ALBANY,"Voorheesville Central School District","C A Bouton Middle School High School",11003060002,711,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,17,0,0,0,0,0,5,0,0,0,0,0,0,4,0,5
ALBANY,"Voorheesville Central School District","Voorheesville Elementary School",11003060001,549,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ALBANY,"Watervliet City School District","Watervliet Elementary School",11200010002,747,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
ALBANY,"Watervliet City School District","Watervliet Junior-Senior High School",11200010010,632,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,21,0,8,0,0,0,0,0,1,1,0,0,0,0,6,3,0,31
ALLEGANY,"Alfred-Almond Central School District","Alfred-Almond Elementary School",20101040001,337,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLEGANY,"Alfred-Almond Central School District","Alfred-Almond Junior-Senior High School",20101040002,328,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1
ALLEGANY,"Andover Central School District","Andover School",20601040001,411,Public,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,42,0,6,0,0,0,0,0,2,0,0,0,0,0,0,2,1,17
ALLEGANY,"Belfast Central School District","Belfast School",20801040001,438,Public,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,15,0,0,0,0,0,2,0,0,0,0,0,1,1,0,82
ALLEGANY,"Bolivar-Richburg Central School District","Bolivar-Richburg Elementary School",22902040002,395,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24
ALLEGANY,"Bolivar-Richburg Central School District","Bolivar-Richburg Junior-Senior High School",22902040001,453,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,24
ALLEGANY,"Bolivar-Richburg Central School District","Bolivar-Richburg Pre-K Program",22902040003,64,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALLEGANY,"Canaseraga Central School District","Canaseraga School",21102040001,316,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,0,5,0,0,0,0,0,1,0,0,0,0,0,2,0,0,10
ALLEGANY,"Cuba-Rushford Central School District","Cuba Elementary School",22302040002,323,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
ALLEGANY,"Cuba-Rushford Central School District","Cuba-Rushford High School",22302040001,327,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
ALLEGANY,"Cuba-Rushford Central School District","Cuba-Rushford Middle School",22302040004,240,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ALLEGANY,"Cuba-Rushford Central School District","Rushford Elementary School",22302040003,106,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ALLEGANY,"Fillmore Central School District","Fillmore Central School",22001040001,741,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0
ALLEGANY,"Friendship Central School District","Friendship Central School",21601040004,380,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,44,0,31,0,0,0,0,0,2,0,0,0,0,0,2,4,0,43
ALLEGANY,"Genesee Valley Central School District At Angelica-Belmont","Genesee Valley Elementary School",20702040001,286,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
ALLEGANY,"Genesee Valley Central School District At Angelica-Belmont","Genesee Valley High School",20702040003,235,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,0,0,3,0,0,0,0,0,0,0,1,0,1,10
ALLEGANY,"Genesee Valley Central School District At Angelica-Belmont","Genesee Valley Middle School",20702040002,205,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,6,0,0,0,1,0,0,0,0,0,0,0,1,1,1,26
ALLEGANY,"Scio Central School District","Scio Central School",22401040003,431,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5
ALLEGANY,"Wellsville Central School District","Wellsville Elementary School",22601060005,590,Public,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALLEGANY,"Wellsville Central School District","Wellsville Middle School",22601060002,286,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,0,0,3,0,0,0,0,0,1,1,0,2
ALLEGANY,"Wellsville Central School District","Wellsville Senior High School",22601060004,485,Public,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,2
