State,Enrollment,"Homicide with weapon(s)","Homicide Without Weapon(s)","Focible Sex Offense With Weapon(s)","Forcible Sex Offenses Without Weapon(s)","Other Sex offenses With Weapon(s)","Other Sex offenses Without Weapon(s)","Robbery With Weapon(s)","Robbery Without Weapon(s)","Assault With Serious Physical Injury With Weapon(s)","Assault With Serious Physical Injury Without Weapon(s)","Arson With Weapon(s)","Kidnapping With Weapon(s)","Kidnapping Without Weapon(s)","Assault with Physical Injury With Weapon(s)","Assault with Physical Injury Without Weapon(s)","Reckless Endangerment With Weapon(s)","Reckless Endangerment Without Weapon(s)","Minor Altercations With Weapon(s)","Minor Altercations Without Weapon(s)","Intimidation, Harassment, Menacing, or Bullying With Weapon(s)","Intimidation, Harassment, Menacing, or Bullying Without Weapon(s)","Burglary With Weapon(s)","Burglary Without Weapon(s)","Criminal Mischief With Weapon(s)","Criminal Mischief Without Weapon(s)","Larceny, or Other Theft With Weapon(s)","Larceny, or Other Theft Without Weapon(s)","Bomb Threat","False Alarm","Riot With Weapon(s)","Riot Without Weapon(s)","Weapon Possession Through Screening","Weapon Possession Under Other Circumstances","Use Possession or Sale of Drugs","Use Possession or Sale of Alcohol","Other Disruptive Incidents"
"Albany High School",2756,0,0,0,0,0,0,0,0,0,2,1,0,0,0,21,1,1,0,206,1,229,0,1,0,9,0,11,0,1,0,0,7,23,26,1,408
"Albany School Of Humanities",533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,30
"Arbor Hill Elementary School",452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,31
"Delaware Community School",348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,61,0,11,0,0,0,5,0,1,0,0,0,0,0,3,0,0,34
"Eagle Point Elementary School",198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,10
"Giffen Memorial Elementary School",458,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,20,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,0,30
"Montessori Magnet School",312,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18
"North Albany Academy",412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,68,0,15,0,0,0,1,0,6,0,0,0,0,0,5,0,0,38
"Philip J Schuyler Achievement Academy",276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"Philip Livingston Magnet Academy",449,0,0,0,0,0,3,0,2,0,0,0,0,0,0,3,1,2,0,75,0,42,0,0,0,1,0,0,0,1,0,0,0,11,3,0,95
